,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
396,3,2016,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell subset,B cells,autoimmune disease,germinal centre,antibody,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
397,3,2016,Basic Science,MEDICAL PHYSIOLOGY,Systems Physiology,skeletal muscle hypertrophy,skeletal muscle wasting,neuromuscular diseases,gene therapy,frailty,111603.0,11.0,MEDICAL AND HEALTH SCIENCES
398,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,adolescent health,mental health,international comparisons,epidemiology,developmental,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
399,3,2016,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,oocyte,embryo development,mitochondria,obesity,in vitro fertilisation (IVF),111404.0,11.0,MEDICAL AND HEALTH SCIENCES
400,3,2016,Clinical Medicine and Science,GENETICS,Genetic Immunology,arthritis,genetics,association studies,microbial pathogenesis,inflammatory diseases,60406.0,6.0,BIOLOGICAL SCIENCES
401,3,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,connectivity,affective disorders,ageing,brain imaging,modelling,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
402,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,diabetes,databases,data linkage,dementia,environmental epidemiology,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
403,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,microrna,RNA processing,regulation,cancer metastasis,cancer biology,60199.0,6.0,BIOLOGICAL SCIENCES
404,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,sedentary behaviour,physical activity,preventive health,diabetes prevention,heart disease,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
405,3,2016,Basic Science,NEUROSCIENCES,Cellular Nervous System,trace element,copper,microglia,dementia,stem cells,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
406,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Metabolism,molecular biology,congenital heart disease,embryology,stem cell biology,tissue engineering,60104.0,6.0,BIOLOGICAL SCIENCES
407,3,2016,Public Health,GENETICS,"Population, Ecological and Evolutionary Genetics",mosquito,dengue virus,molecular markers,vector control,population genetics,60411.0,6.0,BIOLOGICAL SCIENCES
408,3,2016,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,neuropeptide Y (NPY),obesity,appetite regulation,energy balance,energy expenditure,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
409,3,2016,Basic Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,liver disease,iron metabolism,liver fibrosis,erythropoiesis,animal model,110307.0,11.0,MEDICAL AND HEALTH SCIENCES
410,3,2016,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,infertility,sperm function,biomarkers,proteomics,sperm function testing,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
411,3,2016,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,pharmacology,toxins,pain mechanisms,peptides,drug discovery,111501.0,11.0,MEDICAL AND HEALTH SCIENCES
412,3,2016,Public Health,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",substance misuse,youth,mental health,wellbeing,randomised controlled trial (RCT),170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
413,3,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),cancer biology,drug delivery systems,nanotechnology,imaging,cancer therapy,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
414,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,asthma,chronic obstructive pulmonary disease (COPD),allergy,longitudinal cohort study,risk factors,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
415,3,2016,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,viral immunity,autoimmunity,bone marrow transplantation,viral persistence,eye disease,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
416,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,mental health promotion,behaviour change,school-based intervention,education,adolescent health,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
417,3,2016,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,health economics,health systems,developing countries,chronic diseases,poverty,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
418,3,2016,Basic Science,NEUROSCIENCES,Central Nervous System,brain development,brain disorders,axon guidance,molecular neuroscience,intellectual disability,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
419,3,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,clinical trial,oncology,epidemiological research methods,translational research,cancer chemotherapy,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
420,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,psychosocial,intervention,communication,health service decision making,health services research,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
421,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Systems Biology,mental health,schizophrenia and related disorders,DNA sequencing,systems biology,gene expression,60114.0,6.0,BIOLOGICAL SCIENCES
422,3,2016,Clinical Medicine and Science,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",psycho-oncology,doctor-patient interaction,patient outcomes,mental health,health services research,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
423,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),cytokine signalling,JAK/STAT pathway,structural biology,biochemistry,leukaemia,60112.0,6.0,BIOLOGICAL SCIENCES
424,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,women's health,reproductive health,female menopause,chronic diseases,maternal and child health,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
425,3,2016,Basic Science,IMMUNOLOGY,Innate Immunity,innate immunity,inflammation,cytokines,inflammatory diseases,genetic disorders,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
426,3,2016,Public Health,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),substance use disorders,mental health,comorbidity,clinical research,treatment,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
427,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,prison population,Aboriginal health,hepatitis,intervention,mental health,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
428,3,2016,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),asthma,genetics,therapeutic target,translational research,inflammatory diseases,60412.0,6.0,BIOLOGICAL SCIENCES
429,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,public health,epidemiology,sexually-transmitted infections (STI),intervention,primary care,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
430,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,public health,epidemiology,sexually-transmitted infections (STI),intervention,primary care,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
431,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Surgery,burn injury,pathology,injury prevention,wound healing,wound reepithelialisation,110323.0,11.0,MEDICAL AND HEALTH SCIENCES
432,2,2016,Basic Science,GENETICS,Genomics,transposons,genomics,mutation analysis,ovarian cancer,drug resistance,60408.0,6.0,BIOLOGICAL SCIENCES
433,2,2016,Basic Science,GENETICS,Genomics,bioinformatics,genomics,cancer,infectious diseases,diagnostic algorithms,60408.0,6.0,BIOLOGICAL SCIENCES
434,2,2016,Basic Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),stem cell biology,osteoarthritis,prostate cancer,bone marrow transplantation,biomedical engineering,100404.0,10.0,TECHNOLOGY
435,2,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,cancer cell biology,DNA repair,DNA damage,recombination,tumour suppressor gene,60199.0,6.0,BIOLOGICAL SCIENCES
436,2,2016,Public Health,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",chronic diseases,mental health,wellbeing,mechanisms,treatment efficacy,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
437,2,2016,Basic Science,NEUROSCIENCES,Central Nervous System,inflammation,cognition,obesity,development,ageing,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
438,2,2016,Basic Science,IMMUNOLOGY,"Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)",T cells,immune response,viral infection,immune protection,bioinformatics,110702.0,11.0,MEDICAL AND HEALTH SCIENCES
439,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,translational research,preventive health,chronic diseases,organisational processes,implementation,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
440,2,2016,Public Health,STATISTICS,Biostatistics,statistics,biostatistics,epidemiological research methods,clinical trial,public health,10402.0,1.0,MATHEMATICAL SCIENCES
441,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,back pain,lifestyle factors,cohort study,randomised controlled trial (RCT),paediatric,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
442,2,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",ageing,nicotinamide adenine dinucleotide (NAD),fertility,chemotherapy treatment effects,ovarian function,60103.0,6.0,BIOLOGICAL SCIENCES
443,2,2016,Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Pharmacogenomics,pharmacogenetics,antidepressants,major depressive disorder,translational research,targeted therapy,111505.0,11.0,MEDICAL AND HEALTH SCIENCES
444,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Emergency Medicine,neurological condition,emergency medicine,head injury,epilepsy,stroke,110305.0,11.0,MEDICAL AND HEALTH SCIENCES
445,2,2016,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),genetic analysis,psychiatric disorders,de novo mutations,association studies,age-associated,60412.0,6.0,BIOLOGICAL SCIENCES
446,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,Streptococcus pyogenes,scabies,clinical trial,epidemiology,immunology,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
447,2,2016,Clinical Medicine and Science,GENETICS,Genomics,genomics,epilepsy,biostatistics,bioinformatics,population genetics,60408.0,6.0,BIOLOGICAL SCIENCES
448,2,2016,Clinical Medicine and Science,LIBRARY and INFORMATION STUDIES,Health Informatics,electronic health information,evidence-based health care,randomised controlled trial (RCT),information systems/decision support systems,human immunodeficiency virus (HIV),80702.0,8.0,INFORMATION AND COMPUTING SCIENCES
449,2,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,helminth infection,diarrhoeal disease,genomics,diagnostic methods,drug development,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
450,2,2016,Basic Science,NEUROSCIENCES,Peripheral Nervous System,irritable bowel syndrome (IBS),pain mechanisms,sensory neurons,ion channels,G-protein coupled receptors,110905.0,11.0,MEDICAL AND HEALTH SCIENCES
451,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,scleroderma,lupus,randomised controlled trial (RCT),cohort study,outcome measures,110322.0,11.0,MEDICAL AND HEALTH SCIENCES
452,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Orthopaedics,biomechanics,injury,hip replacement,gait,knee,110314.0,11.0,MEDICAL AND HEALTH SCIENCES
453,2,2016,Basic Science,GENETICS,Genomics,bioinformatics,genomics,gene expression,medical genomics,functional genomics,60408.0,6.0,BIOLOGICAL SCIENCES
454,2,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Oncology and Carcinogenesis not elsewhere classified,mesothelioma,immunotherapy,drug discovery,systems biology,translational research,111299.0,11.0,MEDICAL AND HEALTH SCIENCES
455,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,internet service delivery,physical activity,behaviour change,intervention,marketing,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
456,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,vaccine-preventable diseases,vaccine efficacy,vaccine strategy,immunisation,biostatistics,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
457,2,2016,Public Health,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,fetal alcohol syndrome,Aboriginal child,prevention,intervention study,public health,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
458,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,women's health,reproductive health,maternal and child health,cervical cancer,cancer prevention,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
459,2,2016,Basic Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),neurodevelopment,depression,adolescence,biological risk factors,environmental risk factors,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
460,2,2016,Clinical Medicine and Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),wound repair,angiogenesis,skin cancer,systems biology,targeted therapy,100404.0,10.0,TECHNOLOGY
461,2,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,colorectal cancer risk,hereditary colorectal cancer,DNA methylation,cancer genetics,colon biology,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
462,2,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",cell death,apoptosis,cell biology,influenza,immunology,60103.0,6.0,BIOLOGICAL SCIENCES
463,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),depression,anxiety disorders,nutritional therapy,adjunctive therapies,lifestyle factors,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
464,2,2016,Public Health,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,injury prevention,motor vehicle accidents,safety,child,elderly,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
465,2,2016,Basic Science,IMMUNOLOGY,Tumour Immunology,tumour immunotherapy,natural killer cells,tumour immunology,cytokine biology,cancer immunotherapy,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
466,2,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Protein Trafficking,chromatin,nuclear transport,transcription,DNA repair,imaging,60108.0,6.0,BIOLOGICAL SCIENCES
467,2,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),depression,anxiety,treatment,brain function,brain imaging,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
468,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,public health,informatics,infectious diseases,surveillance,genomics,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
469,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,alcohol,population health,policy evaluation,modelling,epidemiology,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
470,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,child health,Aboriginal child,ethnic differences,health inequalities,chronic diseases,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
471,2,2016,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,neuroimaging,dementia,biomarkers,early diagnosis,multidisciplinary,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
472,2,2016,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,stillbirth,risk factors,clinical audit,diagnosis,bereavement,111402.0,11.0,MEDICAL AND HEALTH SCIENCES
473,2,2016,Basic Science,NEUROSCIENCES,Central Nervous System,motor neuron disease (MND),amyotrophic lateral sclerosis,dementia,transgenic mouse,cell culture,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
474,2,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,innate immunity,influenza virus,inflammation,immunopathology,pathogenesis,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
475,2,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,addiction,ethics,policy analysis,neuroscience,addictive behaviours,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
476,2,2016,Clinical Medicine and Science,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,sarcopenia,obesity,falls,fracture,osteoporosis,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
477,2,2016,Basic Science,IMMUNOLOGY,Innate Immunity,innate immunity,natural killer cells,transcription factor,cell differentiation,infectious diseases,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
478,2,2016,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,iron,Parkinson disease,biomarkers,iron chelators,imaging,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
479,2,2016,Basic Science,GENETICS,Neurogenetics,myopathy,genetics,disease gene,pathogenic mechanisms,muscle disease,60410.0,6.0,BIOLOGICAL SCIENCES
480,2,2016,Basic Science,BIOMEDICAL ENGINEERING,Biomedical Engineering nec,tissue engineering,cardiac disease,differentiation,developmental biology,cell biology,,,
481,2,2016,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),biomarkers,cardiovascular disease,fibroblast growth factors (FGF),epidemiology,risk factors,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
482,2,2016,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,infection control,diagnostic test,inflammation,cancer detection,kidney disease,90304.0,9.0,ENGINEERING
483,2,2016,Basic Science,MEDICAL PHYSIOLOGY,Medical Physiology not elsewhere classified,blood-brain barrier,insulin resistance,inflammation,cognitive impairment,pharmacotherapy,111699.0,11.0,MEDICAL AND HEALTH SCIENCES
484,2,2016,Basic Science,IMMUNOLOGY,Innate Immunity,innate immunity,inflammation,inflammatory diseases,inflammatory cytokines,immunogenetics,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
485,2,2016,Public Health,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",driving,drugs,alcohol and behaviour,pharmaceutical,alcohol,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
